id	dirll	name	nameEng	quality	m_Desc	desc	role_id	role_tag	add_role_id	summon	fit_result	unite	uniteLabel	subTfSkills	skills	jcSkills	tfSkills	tcSkills	card_type	break_id	breakModels	skin	skinMinBreakLv	itemId	coreItemId	key	model	career	main_type	attack	defense	maxhp	speed	crit	crit_rate	resist	hit	np	sp_race	sp_race2	sp	overLoad	hot	nMoveType	nClass	nStep	sMech	equip_suits	fight_cost	grids	gridsIcon	halo	get_from_gm	isActionLog	isUseCommon	base_card	changeCardIds	notBuyAllTcSkills	notBuyChangeCardIds	enum	pos_enum
10000	10000	指揮官	Riel Acolyte	4	指揮官(マーク用)という名の幻像	指揮官(マーク用)という名の戦士		test58						10001	100000101;100000201;100000301;932700401	100000101;100000201;100000301	932700401		1	74441			{}			10000	1000001	1	4	128	93	1315	100	1.5	0.05	0	0	0	0	0	0	0	100	1	7	0	7	210;211;212	0				False	False	False	True	{}	{}	{}		
10010	10010	アルプス	ALPS	6	アルプスという名の幻像	アルプスという名の戦士	10010	10010						10010	100100101;100100201;100100301;100101301;4100101	100100101;100100201;100100301;100101301	4100101		1	11161	1001001;1001002;1001002;1001002	1001003;1001004;1001005	"{""1001001"": 1, ""1001002"": 2}"	41001	101001	10010	1001001	1	1	139	120	1637	104	1.5	0.05	0.1	0	0	5	10	30	1	100	2	1	0	1	213;224;220	0		effective_range_10010	10010	True	True	False	True	{}	{}	{}	8	1;2
10020	10020	コンロン	KUNLUN	5	コンロンという名の幻像	コンロンという名の戦士	10020	10020	80150	10000016				10020	100200101;100200201;100200301;100201301;4100201;100200401	100200101;100200201;100200301;100201301	4100201	100200401	1	11251	1002002;1002003;1002003;1002003	1002004	"{""1002002"": 1, ""1002003"": 2}"	41002	101002	10020	1002002	1	2	134	108	1554	109	1.5	0.02	0	0	0	5	10	30	1	100	2	1	0	1	234;210;213	0		effective_range_10020	10020	True	True	False	True	{}	{}	{}		1;6
10030	10030	ウルフラマイト	WOLFRAMITE	5	ウルフラマイトという名の幻像	ウルフラマイトという名の戦士	10030	10030						10030	100300101;100300201;100300301;100301301;4100301	100300101;100300201;100300301;100301301	4100301		1	11351	1003001;1003002;1003002;1003002	1003003;1003004	"{""1003001"": 1, ""1003002"": 2}"	41003	101003	10030	1003001	1	1	146	102	1596	106	1.5	0.05	0	0	0	5	10	30	1	100	2	1	0	1	217;202;213	0		effective_range_10030	10030	True	True	False	True	{}	{}	{}		1;2
10040	10040	アンデス	ANDES	3	アンデスという名の幻像	アンデスという名の戦士	10040	10040	80270	10000022				10040	100400101;100400201;100400301;100401301;4100401;100400401	100400101;100400201;100400301;100401301	4100401	100400401	1	11401	1004001;1004002;1004002;1004002		"{""1004001"": 1, ""1004002"": 2}"	41004	101004	10040	1004001	2	1	126	92	1352	112	1.5	0.02	0	0	0	5	10	30	1	100	2	1	0	1	234;210;213	0		effective_range_10040	10040	True	True	False	True	{}	{}	{}		1;4
10050	10050	アトラス	ATLAS	4	アトラスという名の幻像	アトラスという名の戦士	10050	10050						10050	100500101;100500201;100500301;100501301;4100501	100500101;100500201;100500301;100501301	4100501		1	11141	1005001;1005002;1005002;1005002		"{""1005001"": 1, ""1005002"": 2}"	41005	101005	10050	1005001	2	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	1	0	1	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
10060	10060	コーカサス	CAUCASUS	3	コーカサスという名の幻像	コーカサスという名の戦士	10060	10060						10060	100600101;100600201;100600301;100601301;4100601	100600101;100600201;100600301;100601301	4100601		1	11201	1006001;1006002;1006002;1006002		"{""1006001"": 1, ""1006002"": 2}"	41006	101006	10060	1006001	1	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	1	0	1	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
10070	10070	ルイゼ	CINNABAR	3	ルイゼという名の幻像	ルイゼという名の戦士	10070	10070						10070	100700101;100700201;100700301;100701301;4100701	100700101;100700201;100700301;100701301	4100701		1	11301			{}	41007	101007	10070	1007001	1	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	1	0	1	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
10080	10080	チョゴリザ	JO GORI	3	チョゴリザという名の幻像	チョゴリザという名の戦士	10080	10080						10080	100800101;100800201;100800301;100801301;4100801	100800101;100800201;100800301;100801301	4100801		1	11401	1008001;1008002;1008002;1008002		"{""1008001"": 1, ""1008002"": 2}"	41008	101008	10080	1008001	1	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	1	0	1	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
10090	10090	グランドティトン	GRAND TETON	3	グランドティトンという名の幻像	グランドティトンという名の戦士	10090	10090						10090	100900101;100900201;100900301;100901301;4100901	100900101;100900201;100900301;100901301	4100901		1	11101			{}	41009	101009	10090	1009001	1	1	201	97	1273	110	1.5	0.1	0	0	0	5	10	30	1	100	2	1	0	1	220;234;210	0		effective_range_01		False	True	False	True	{}	{}	{}		
