id,name,icon_bg_type,icon,"desc"
1100070315,機神ダメージ脆弱,6,1005,"被ダメージ<color=#FFC432>+30%</color>,機神からの被ダメージは追加で<color=#FFC432>+30%</color>"
1100070314,機神ダメージ脆弱,6,1004,"被ダメージ<color=#FFC432>+25%</color>,機神からの被ダメージは追加で<color=#FFC432>+25%</color>"
1100070313,機神ダメージ脆弱,6,1003,"被ダメージ<color=#FFC432>+20%</color>,機神からの被ダメージは追加で<color=#FFC432>+20%</color>"
1100070312,機神ダメージ脆弱,6,1002,"被ダメージ<color=#FFC432>+15%</color>,機神からの被ダメージは追加で<color=#FFC432>+15%</color>"
1100070311,機神ダメージ脆弱,6,1001,"被ダメージ<color=#FFC432>+10%</color>,機神からの被ダメージは追加で<color=#FFC432>+10%</color>"
1100070310,機神ダメージ脆弱,6,1005,"被ダメージ<color=#FFC432>+30%</color>,機神からの被ダメージは追加で<color=#FFC432>+30%</color>"
1100070309,機神ダメージ脆弱,6,1004,"被ダメージ<color=#FFC432>+25%</color>,機神からの被ダメージは追加で<color=#FFC432>+25%</color>"
1100070308,機神ダメージ脆弱,6,1003,"被ダメージ<color=#FFC432>+20%</color>,機神からの被ダメージは追加で<color=#FFC432>+20%</color>"
1100070307,機神ダメージ脆弱,6,1002,"被ダメージ<color=#FFC432>+15%</color>,機神からの被ダメージは追加で<color=#FFC432>+15%</color>"
1100070306,機神ダメージ脆弱,6,1001,"被ダメージ<color=#FFC432>+10%</color>,機神からの被ダメージは追加で<color=#FFC432>+10%</color>"
1100070305,範囲攻撃脆弱,6,1005,"範囲攻撃の被ダメージ<color=#FFC432>+100%</color>"
1100070304,範囲攻撃脆弱,6,1004,"範囲攻撃の被ダメージ<color=#FFC432>+80%</color>"
1100070303,範囲攻撃脆弱,6,1003,"範囲攻撃の被ダメージ<color=#FFC432>+60%</color>"
1100070302,範囲攻撃脆弱,6,1002,"範囲攻撃の被ダメージ<color=#FFC432>+40%</color>"
1100070301,範囲攻撃脆弱,6,1001,"範囲攻撃の被ダメージ<color=#FFC432>+20%</color>"
1100070210,追加攻撃脆弱,6,1005,"追加攻撃の被ダメージ<color=#FFC432>+30%</color>"
1100070209,追加攻撃脆弱,6,1004,"追加攻撃の被ダメージ<color=#FFC432>+25%</color>"
1100070208,追加攻撃脆弱,6,1003,"追加攻撃の被ダメージ<color=#FFC432>+20%</color>"
1100070207,追加攻撃脆弱,6,1002,"追加攻撃の被ダメージ<color=#FFC432>+15%</color>"
1100070206,追加攻撃脆弱,6,1001,追加攻撃の被ダメージ<color=#FFC432>+10%</color>
1100070205,カウンター脆弱,6,1005,"反撃の被ダメージ<color=#FFC432>+30%</color>"
1100070204,カウンター脆弱,6,1004,"反撃の被ダメージ<color=#FFC432>+25%</color>"
1100070203,カウンター脆弱,6,1003,反撃の被ダメージ<color=#FFC432>+20%</color>
1100070202,カウンター脆弱,6,1002,"反撃の被ダメージ<color=#FFC432>+15%</color>"
1100070201,カウンター脆弱,6,1001,"反撃の被ダメージ<color=#FFC432>+10%</color>"
