id	name	lv	desc	desc2	group	key	next_id	nFightSkillId	costId	icon	icon2	range_key	jPropertys
329502	エウカリスト	2	自身が会心ダメージを与えた時,対象に付与されている残痕1スタック毎に,追加で与ダメージ<color=#FFC432>+4%</color>	自身が会心ダメージを与えた時,対象に付与されている残痕1スタック毎に,追加で与ダメージ<color=#FFC432>+6%</color>	3295	329502	329503	329502	3002	3295	5	one	
303403	タレント効果303403	3	スキル2強化:吸血時,20%の確率で自身に<color=#FFC432>攻撃力+10%</color>を付与,2ターン継続	テスト2<skillEff=中毒>	3034	303403	303404	303403	4005	1	2	one	
312103	タレント効果312103	3	攻撃を受けた後,16%の確率で攻撃者に氷結を付与	テスト2<skillEff=中毒>	3121	312103	312104	312103	4004	1	1	one	
320803	理性の刃	3	ダメージを与えた後,追加で対象の耐久値上限1%分の<skillEff=固定ダメージ>を与える,最多自身の攻撃力の50%.味方対象が<skillEff=戦闘不能>になる毎に,自身の与ダメージ<color=#FFC432>+9%</color>	ダメージを与えた後,追加で対象の耐久値上限1%分の<skillEff=固定ダメージ>を与える,最多自身の攻撃力の50%.味方対象が<skillEff=戦闘不能>になる毎に,自身の与ダメージ<color=#FFC432>+12%</color>	3208	320803	320804	320803	4003	3208	5	one	
329503	エウカリスト	3	自身が会心ダメージを与えた時,対象に付与されている残痕1スタック毎に,追加で与ダメージ<color=#FFC432>+6%</color>	自身が会心ダメージを与えた時,対象に付与されている残痕1スタック毎に,追加で与ダメージ<color=#FFC432>+8%</color>	3295	329503	329504	329503	4002	3295	5	one	
303404	タレント効果303404	4	スキル2強化:吸血時,25%の確率で自身に<color=#FFC432>攻撃力+10%</color>を付与,2ターン継続	テスト2<skillEff=中毒>	3034	303404	303405	303404	5005	1	2	one	
312104	タレント効果312104	4	攻撃を受けた後,20%の確率で攻撃者に氷結を付与	テスト2<skillEff=中毒>	3121	312104	312105	312104	5004	1	1	one	
320804	理性の刃	4	ダメージを与えた後,追加で対象の耐久値上限1%分の<skillEff=固定ダメージ>を与える,最多自身の攻撃力の50%.味方対象が<skillEff=戦闘不能>になる毎に,自身の与ダメージ<color=#FFC432>+12%</color>	ダメージを与えた後,追加で対象の耐久値上限1%分の<skillEff=固定ダメージ>を与える,最多自身の攻撃力の50%.味方対象が<skillEff=戦闘不能>になる毎に,自身の与ダメージ<color=#FFC432>+15%</color>	3208	320804	320805	320804	5003	3208	5	one	
329504	エウカリスト	4	自身が会心ダメージを与えた時,対象に付与されている残痕1スタック毎に,追加で与ダメージ<color=#FFC432>+8%</color>	自身が会心ダメージを与えた時,対象に付与されている残痕1スタック毎に,追加で与ダメージ<color=#FFC432>+10%</color>	3295	329504	329505	329504	5002	3295	5	one	
303405	タレント効果303405	5	スキル2強化:吸血時,30%の確率で自身に<color=#FFC432>攻撃力+10%</color>を付与,2ターン継続	テスト2<skillEff=中毒>	3034	303405		303405		1	2	one	
