id	icon_bg_type	range_key	np	sp
22501	6			
300504	5			
932900601	6	one	0	0
300505	5			
304601	5			
500300104	6	one	0	0
303200204	6	one_col	10	0
400700202	6	one	10	0
601600201	6	all	10	0
703301303	6	one	20	0
703300303	6	one	20	0
304604	5			
8564	5			
951800301	6	one_col	0	0
800800101	6	one	0	0
308701	5			
601100202	5	myself	0	0
702801304	6	all	20	0
601600305	6	one	20	0
308702	5			
9204	5			
500300204	6	one	10	0
400701302	6	one	20	0
303200304	6	one	20	0
400700302	6	one	20	0
308704	5			
700700204	6	one	10	0
308705	5			
312801	5			
312802	5			
303200104	6	one	0	0
312803	5			
312804	5			
603200102	6	one	0	0
312805	5			
901500301	5	all	0	0
951800101	6	one	0	0
200900202	2	one	5	0
200900204	2	one	5	0
316902	5			
702800104	6	one	0	0
316903	5			
603211302	6	one	20	100
603210302	6	one	20	0
316904	5			
200900102	6	one	0	0
200900104	6	one	0	0
321001	5			
603201302	6	all	20	100
603200302	6	all	20	0
321002	5			
321003	5			
903600201	6	one	0	0
402300103	6	one	0	0
704400405	6	one	0	0
914100101	6	one_row	0	0
325101	5			
501901301	6	one	20	0
501901305	6	one	20	0
901500101	5	all	0	0
501900301	6	one	20	0
600600203	6	one_col	10	0
325103	5			
603210102	6	one	0	0
200901302	2	all	10	0
200901304	2	all	10	0
325105	5			
200900302	2	all	10	0
200900304	2	all	10	0
304800205	6		0	0
302701301	6	all	20	0
302701305	6	all	20	0
704400101	6	one	0	0
400201303	6	all	20	0
302700305	6	all	20	0
400200303	6	all	20	0
22503	6			
329204	5			
329205	5			
704400205	6			
302700101	5	one_row	0	0
302700105	5	one_row	0	0
400200103	6	one	0	0
922500101	6	one	0	0
501900201	6	one_col	10	0
501900205	6	one_col	10	0
402301303	6	one	20	0
710200202	6	one	10	0
402300303	6	one	20	0
333304	5			
302700401	6	one	0	0
302700405	6	one	0	0
8565	5			
333305	5			
337401	5			
304800101	6	one	0	0
304800105	6	one	0	0
304810201	6	all	0	30
302700201	6	all	10	0
302700205	6	all	10	0
922500301	6	all	0	100
337404	5			
304800401	6	one_except_self	0	100
337405	5			
911500402	6	one	0	0
920400201	6	one	0	0
800900101	6	one	0	0
600100204	6	one_row	10	0
304810301	6	one	0	50
304810305	6	one	0	50
1100010311	6			
501400302	6	one	10	0
1100010391				
304810101	6	one_col	0	20
304810105	6	one_col	0	20
403900104	6	one_col	0	0
501400102	6	one	0	0
302602	5			
302201302	6	one	20	0
302603	5			
302200302	6	one	20	0
304810401	6	all	0	30
304810405	6	all	0	30
951900101	6	one	0	0
302605	5			
306701	5			
702900104	6	one	0	0
1100040071	5			
306702	5			
302200102	6	one	0	0
306703	5			
403900204	6	one_row	10	0
501400202	5	one_except_self	5	0
304300302	6	one	20	0
300110302	6	one	20	0
703401303	5	all	10	0
703400303	5	all	10	0
310801	5			
1100010071	6			
20201	6			
310802	5			
951900301	6	one_row	0	0
1100010151	6			
304300102	6	one	0	0
310803	5			
702901304	6	all	20	0
300110102	6	one	0	0
1100010231	6			
302200202	5	myself	0	0
913100103	6	one	0	0
403901304	6	one	20	0
300101302	6	all	20	0
403900304	6	one	20	0
200400105	6	one	0	0
314901	5			
305001	5			
309401	5			
314902	5			
4402302	5			
5800003	6	myself	0	0
5800002	6	myself	0	0
314903	5			
23401	6			
4402102	5			
5700003	6	myself	0	0
700300205	6	one_col	10	0
4600803	5			
304300202	6	one	10	0
1100070055	6	myself	0	0
314905	5			
300110202	6	one	10	0
319001	5			
304310302	6	all	0	50
5700001	6	myself	0	0
5600010	6	myself	0	0
319002	5			
700301301	6	all	20	0
8566	5			
901600301	5	all	0	0
600700403	6	one_except_self	0	0
5600009	6	myself	0	0
4704004	5			
4704201	5			
602800103	6	one	0	0
200401301	6	one_row	10	0
304310102	6	one_row	0	20
200401305	6	one_row	10	0
9206	5			
200400301	6	one_row	10	0
200400303	6	one_row	10	0
200400305	6	one_row	10	0
5600006	6	myself	0	0
910000101	6	one	0	0
503001303	6	one	20	0
5600005	6	myself	0	0
503000303	6	one	20	0
5600004	6	myself	0	0
304310402	6	all	0	30
704500301	6	all	20	0
914200501	6	one	0	0
4704202	5			
200400201	5	all	10	0
200400203	5	all	10	0
200400205	5	all	10	0
903801301	6	one_row	0	0
323105	5			
5600001	6	myself	0	0
702400201	6	all	10	0
602801303	6	one_row	20	0
602800303	6	one_row	20	0
304310202	6	all	0	30
327202	5			
4901204	5			
914200101	6	one	0	0
750101302	6	one	20	0
750100302	6	one	20	0
901600101	5	all	0	0
4901401	5			
600700203	5			
702401305	6	all	20	0
702400305	6	all	20	0
912101001	6	myself	0	0
5500115	6	myself	0	0
920500201	6	one	0	0
5500114	6	myself	0	0
331301	5			
23402	6			
907900201	6	all	0	0
5500113	6	myself	0	0
331302	5			
600200204	6	tian	10	0
5500112	6	myself	0	0
5500111	6	myself	0	0
331303	5			
503000203	6	one_col	10	0
5500110	6	myself	0	0
942000104	6	one	0	0
331304	5			
914200301	6	all	0	100
4901205	5			
5500108	6	myself	0	0
331305	5			
5500107	6	myself	0	0
335401	5			
4901101	5			
5500105	6	myself	0	0
912101201	6	myself	0	0
912100201	6	myself	0	0
704000102	6	one	0	0
5500104	6	myself	0	0
4901503	5			
335403	5			
4901102	5			
922600101	6	one	0	0
503100104	6	one	0	0
600200404	6	all	20	0
4901303	5			
4901405	5			
922800101	6	one_row	0	0
335405	5			
5500003	6	myself	0	0
942001304	6	all	20	0
942000304	6	all	20	0
5500002	6	myself	0	0
4901501	5			
20203	6			
110008025	6			
110008020	6			
110008015	6			
110008010	6			
4704502	5			
933100601	6	one	0	0
704001302	6	all	20	0
704000302	6	all	20	0
110008002	3			
500400104	6	one	0	0
110008001	3			
1100070179	6	myself	0	0
922600301	6	all	0	100
1100070178	6	myself	0	0
311603	5			
1100070176	6	myself	0	0
502500304	6	one	20	0
703501303	6	one	20	0
911600402	6	one	0	0
703500303	6	one	20	0
1100070175	6	myself	0	0
1100070118	6	myself	0	0
1100070117	6	myself	0	0
1100070116	6	myself	0	0
23403	6			
1100070115	6			
801000101	6	one	0	0
931000101	6	one	0	0
300602	5			
301200104	6	one	0	0
502500104	6	one	0	0
302500101	5	one_col	0	0
402900202	2	myself	0	25
311801	5			
1100070112	6			
500400204	5			
300604	5			
1100070111	5			
8503	5			
500410304	6	one	0	50
300605	5			
1100070315	6			
502500404	6	one	0	0
933100401	6	all	0	0
1100070314	6			
1100070313	6			
9015	5			
1100070312	6			
941510201	6	all	0	0
9207	5			
304703	5			
801000301	6	all	0	50
500410104	6	one_row	0	20
1100070311	6			
304704	5			
301200204	6	one	10	0
402901302	5	one_except_self	10	0
703500103	6	one	0	0
402900302	5	one_except_self	10	0
913200303	6	myself	0	40
500400304	6	all	20	0
1100070310	6			
1100070309	6			
1100070308	6			
308802	5			
1010307	6	all	0	0
1100070306	6			
1100070305	6			
308803	5			
703000104	6	one	0	0
799980103	6	one	0	0
402900102	6	one	0	0
308804	5			
912500101	6	one	0	0
327604	5			
8559	5			
308805	5			
1100070301	6			
301201304	6	one	20	0
1100070210	6			
301200304	6	one	20	0
1100070209	6			
312902	5			
401900304	6	all	10	0
799991303	6	one	20	0
799990303	6	one	20	0
312903	5			
327803	5			
1100070206	6			
1100070205	6			
312904	5			
4401202	5			
903800201	6	one	0	0
703001304	6	all	20	0
799981303	6	all	20	0
799980303	6	all	20	0
317001	5			
1100070203	6			
1100070202	6			
750201302	6	one	20	0
750200302	6	one	20	0
4906105	5			
901700101	2	all	0	0
600800203	6	one	5	0
702501305	6	all	20	0
702500305	6	all	20	0
1100070201	6			
302604	5			
317004	5			
1100030011	6			
4906204	5			
1100070103	6			
908000201	6	one	0	0
1100070102	6			
321101	5			
1100070101	6			
4906102	5			
4906106	5			
321102	5			
311802	5			
1100070096	6	myself	0	0
1100070095	6			
400301303	6	tian	20	0
799990103	6	one	0	0
1100070094	6	myself	0	0
400300303	6	tian	20	0
321104	5			
901700301	2	all	0	0
1100070093	6	myself	0	0
1100070092	6			
321105	5			
1100070091	6	myself	0	0
325201	5			
1100070090	6			
21101	6			
4906304	5			
325202	5			
1100010051	6			
400300103	6	one	0	0
750200102	6	one	0	0
